"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,472143,465850.5,459947,448446.666666667,439165.666666667,430909.333333333,425501.333333333,418787.666666667,412677.333333333,406177,402989.666666667,400909.333333333,398227,394884.666666667,392119.333333333,388107,386824,387326.666666667,389199.666666667,389630,390767,393858.666666667,394358.666666667,392468.666666667,392847,394951,399475.666666667,402258.333333333,405993.666666667,406943,404658,400685.333333333,396397,394153.333333333,392156.666666667,391704,389671,388422,384110.333333333,383224,382897.666666667,384759.333333333,384686.666666667,383141.333333333,381942,380562,379395.333333333,378500.666666667,378113.333333333,379006.666666667,380363,382368,385580.333333333,387847.666666667,390403,393686,397085,399973,401250,404717.666666667,409995,417189.666666667,423706.333333333,431536.666666667,440227.333333333,449988.666666667,457697,462162,466068,468734,473174.666666667,474514.666666667,476669.666666667,476251,477620.333333333,477924.333333333,480181.666666667,479549.333333333,479439.333333333,479450.333333333,482162,485542,490201.333333333,495168,499571.666666667,500430.333333333,502808.666666667,504619.333333333,505683,506358,507932.666666667,511838.333333333,515428.666666667,520925.666666667,524739,529070.666666667,531300.666666667,535988,539226,542441.666666667,542109,543328.666666667,546455,552036,555411.666666667,558016.333333333,562092,566178.666666667,569973.666666667,572318.666666667,576324.666666667,579573.333333333,581292.333333333,582829,584936.333333333,589036.333333333,595001.333333333,600636.666666667,605967,611928,617773,622439,624288.666666667,625855.666666667,625526,624850,624580.333333333,626854.666666667,628766,628796.333333333,628708.666666667,627605.333333333,626330,626452.666666667,627361.333333333,629635.333333333,627320,626593.333333333,627129.666666667,631862,635059
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,248746,250455,249167.666666667,248682.666666667,247432.333333333,248577,249259.666666667,248887.666666667,246148,242777,240139.333333333,237517.333333333,235976.666666667,233176.666666667,232212,230371.666666667,229170.666666667,227982.666666667,227720,227219.666666667,227298.666666667,225459,224912,221910.666666667,218662.666666667,212984.333333333,209808.333333333,208854,210126.333333333,209808.666666667,208115.333333333,205429,202674.333333333,200184,197248.333333333,195806.666666667,193961.666666667,193802.333333333,192292.666666667,192083,190552,189375.333333333,188287,189126.666666667,190785.333333333,192063.666666667,190677.333333333,188129,185411,184017.666666667,183704,184006.333333333,185068,185884.666666667,187009.666666667,188021.333333333,188660.666666667,189721,190406,191520.666666667,191886.666666667,192630,194501.333333333,196826.333333333,199357.333333333,200669.666666667,200546.333333333,198609.666666667,197085.666666667,197062,198301,199289.666666667,200044.666666667,201484.333333333,203140.333333333,203717.666666667,203320.666666667,203384.666666667,203966.666666667,204538,204934,204848.666666667,204959,205914.333333333,208317.333333333,210574.333333333,211395.666666667,211440.666666667,211313,210998.666666667,210702,210711.666666667,211483,212381.333333333,214458.666666667,216401.333333333,218199,219026.333333333,219527.333333333,219965,220076.333333333,219981,220530,221925.333333333,223128.333333333,224529.666666667,225802,228362,230611.666666667,232157.666666667,232465.666666667,231873.333333333,231636.666666667,231870.333333333,232443.666666667,233112.666666667,234399.666666667,236636.333333333,238653.666666667,239843.333333333,240816,241752,242451.666666667,241948,241301,241026,241185.333333333,241931.333333333,242376.666666667,242620.666666667,242852.333333333,243802,244960,245683,245542.333333333,244876.333333333,243834.333333333,242881,242228,242093
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,141119,140846,140670.666666667,140157.666666667,139467,138860.333333333,138459,138148,137783.333333333,137463.666666667,136860.666666667,136070,135178.666666667,134979.333333333,134770,134762.666666667,134767.333333333,135137.666666667,135673.333333333,135934,136031.666666667,135770.333333333,136000.666666667,136275,136178,135929,135929.666666667,136291,136418,135960.666666667,134901.333333333,133422.333333333,132471.666666667,131878.666666667,131784.333333333,131492,130942.666666667,130170,129036.666666667,128198.666666667,127566,127209,127183,127322.666666667,127409.666666667,127371.333333333,126534.666666667,126015,125797.333333333,126070.666666667,126444,126449,126655.666666667,126746.333333333,127348.333333333,127955,128480,128601.666666667,129005,129445,130289.333333333,131179,132773.333333333,134541.666666667,136178.333333333,137276.333333333,138471.666666667,139884.333333333,141427.666666667,142914,144244,145386,146578,147725,148543.666666667,149337.666666667,150126.666666667,151484,152850,154633.333333333,156303.333333333,157728.333333333,158928.666666667,160181.666666667,161545.333333333,162619.666666667,163967,165110,166225.666666667,166992,167405.333333333,167865.666666667,168347.666666667,169238.666666667,169846.666666667,170410.666666667,171524.333333333,172544.333333333,173122.333333333,172982.666666667,173301.333333333,173949.666666667,174862.333333333,175266.666666667,175630.333333333,175861,176951.333333333,178151.333333333,178794.333333333,179223,179665.333333333,180480.333333333,180971,181402,181475,181602.333333333,181857,182405,183055.666666667,183613.666666667,184316.333333333,184847.333333333,185435.666666667,186442,187458.333333333,188360.333333333,188925,189814,190798,191785.666666667,192677,193498,194630,195453.666666667,195767,195631.333333333,195685.333333333,196198,196728.333333333,197370.333333333,197644,198527.333333333,199147
2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,227053,224923,223135,220223.333333333,216938,212964.333333333,207936.333333333,203420.333333333,199747.333333333,196819,194720,192968.333333333,191017,188680.333333333,186111,183871.666666667,181922.666666667,180806.666666667,180193.666666667,179841.333333333,178375,178387.333333333,178678.333333333,179431.333333333,177985.333333333,176372,176112.333333333,175310.333333333,174605.666666667,172756.333333333,171729.666666667,169592,167918,166036.333333333,164311.333333333,161653.666666667,159576,158663.333333333,158451,158134.333333333,157400,156861.333333333,156717.666666667,156818.333333333,157236,157574.666666667,159391.666666667,160388,162067.666666667,162750.333333333,164363.666666667,165924.333333333,167836,170357.666666667,173434,177081.666666667,180604.333333333,183205.666666667,184217.333333333,185686.666666667,187365,190033.333333333,191813.333333333,194041.666666667,196719.333333333,200293.333333333,202944.666666667,205338.666666667,207117.666666667,207609.333333333,207236.666666667,207075.666666667,208100.333333333,208556.333333333,207980.333333333,207625.333333333,208023,207915.666666667,207874,207183.666666667,207529.666666667,208782.666666667,210637,211583,212361.666666667,214364.666666667,216697.333333333,218873.666666667,219981.666666667,221683,223009.333333333,224770,225748.333333333,226649.666666667,227545.333333333,229799.666666667,231564.333333333,232753,233700.333333333,234810.333333333,236024.333333333,236124,236682.333333333,237557.666666667,239376.333333333,241227.333333333,242420.666666667,243533,245110.666666667,246870.333333333,248212.666666667,249228,250594,252351.333333333,253257.333333333,254590,255921.333333333,257590,258758,260562,263046,265282.666666667,267227,268864,270321.333333333,271545.333333333,272689,274149,275209.333333333,275868.666666667,276698.333333333,277805,279281.333333333,280771.666666667,281602.333333333,282539.666666667,283581.666666667,285116.666666667,287170.666666667,288931.333333333,290680.666666667,292223.666666667
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",5,436525,432364,428459,421692.333333333,415881.333333333,410245.666666667,404169.333333333,397979.666666667,392731.333333333,388381.666666667,382851,376397.333333333,369868.333333333,366109.666666667,364376.333333333,364290,366798.666666667,371827.333333333,378885,384240.666666667,388172,390008.666666667,394230,396862.666666667,398934,399160.333333333,400887.333333333,404531.333333333,405047,404155,402084.666666667,401644.666666667,400025.666666667,396046.666666667,391855,389746.333333333,387590,385484.333333333,382083,380368.666666667,378651.666666667,377540.666666667,376372.666666667,373638.666666667,371263.333333333,368921,367878,365906.333333333,366027.333333333,366353.333333333,367504,366905.666666667,367979,370702.333333333,374273.333333333,378048.666666667,381427,385326.666666667,389045.333333333,392869,395251.666666667,397383,399566,402788,406271,410158,415361.333333333,420681.333333333,425327.333333333,427732,429950.666666667,433238.333333333,439336.333333333,446403,452945.666666667,456921.333333333,459131.666666667,458780,460151,458558.333333333,459818.666666667,460632.666666667,465245,467616,468296,469180.333333333,473965,477099.333333333,480213.666666667,479660.333333333,479486,481098.333333333,484287,488821,492432.333333333,498175,506834.333333333,510348.333333333,509240.666666667,507883.666666667,508540.333333333,511010.333333333,509560,512353.333333333,515898.333333333,522260.666666667,525758.666666667,529558.666666667,530778.333333333,534851.333333333,539115.666666667,543905,548552.333333333,551394.333333333,552711.333333333,553454.666666667,556320,561710.666666667,565342.333333333,570079.333333333,577366.666666667,584557,588093.666666667,586473.666666667,584281,584248.666666667,585194.666666667,587675.666666667,588223.666666667,590215,590795.333333333,591262.666666667,588744.333333333,587666.333333333,587108,589288.666666667,590122,592045,594354,596542.333333333,597062.333333333,598175,600560
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,562634,561831.5,560148.666666667,555500,550095,545198.666666667,541829.333333333,540408.333333333,540094.333333333,540340,538936,535316,532472,528798.333333333,527101,526399,525840.333333333,525825.666666667,525640.333333333,528549.666666667,531717.333333333,536128.666666667,538167,537823.666666667,535748.666666667,534855.333333333,535450.666666667,534657.333333333,532245.666666667,528351,526198.666666667,522903.666666667,518506.333333333,511030.666666667,504850.333333333,502177.666666667,500777,499323.333333333,496070.333333333,491612.666666667,490072,490150.333333333,490174.666666667,486368.666666667,483055,480855.333333333,480169,477171.666666667,474236.333333333,473787.666666667,474720.333333333,478042.333333333,480519.666666667,485850,492008,498056.666666667,503049.333333333,506653,510655,516361.666666667,524427,534622.666666667,544625.333333333,554662,563987,569755.666666667,574405.333333333,578897,584060,590206,596524.666666667,601679.333333333,604588.666666667,601908.666666667,600752.333333333,598004.666666667,597997,597796.666666667,597234.666666667,598263.333333333,598456.333333333,600898.666666667,603051.333333333,606099,610173,613720.666666667,617601.666666667,619435.666666667,621936.333333333,625488,628916.333333333,632322.333333333,634555,635773,640611.333333333,644534.666666667,649213.666666667,651363,651676.666666667,654863.333333333,655849,660154.666666667,662155.333333333,662533.666666667,662088.333333333,665207,667984,674332.666666667,677097,681984.666666667,683933,687040.666666667,691175.333333333,692516,693092.666666667,694505.333333333,697861,702457.666666667,707314.333333333,711855.333333333,715691.333333333,719013.333333333,723477,727222.333333333,731103,730795,730792.333333333,728393.333333333,729677.333333333,729169.666666667,727782.666666667,726344.666666667,725101,725497,725171,726726,726789.333333333,728290.333333333,730269,735036,737668.333333333,737102
581,"Kings County","NY","New York-Newark-Jersey City","36","047",7,460294,459945.5,459077.333333333,457673.666666667,454709.666666667,452368.666666667,449373.666666667,447528.333333333,444745.333333333,442171.333333333,439325.333333333,436562.333333333,433623.333333333,429327.666666667,425334.333333333,420525.666666667,416808.666666667,412773.333333333,409181,406243,403540.333333333,401290,400393.666666667,400160.666666667,402325.666666667,406672.333333333,412666.666666667,417428,422201,425641.333333333,431237.333333333,433342.333333333,434380.333333333,433128,431833.333333333,429225.666666667,426884.666666667,424479,423414.666666667,421134,418691.666666667,416473,414820,414261,414939.333333333,416465,417378,418591,419026.333333333,418731,417412.333333333,417170.666666667,417538.333333333,418576.666666667,419914,421794.666666667,423528.333333333,425465.333333333,428939.333333333,432626,436411.666666667,438939.333333333,440372.333333333,440846.333333333,442399.333333333,445587.666666667,447906,451130.666666667,456249.333333333,462155,465881.666666667,469000,472614.666666667,478179,482849.333333333,488368.666666667,493169,497956,501719.666666667,506097.333333333,508940,511793,512622,514207.333333333,516001.666666667,518284.666666667,521470,527433.333333333,534204,540317.666666667,544443.666666667,548217,553383,558200.333333333,563431,567113.333333333,569264.666666667,570486.666666667,572491,575171.333333333,577201.333333333,579218,581367,584498,585987.666666667,586527.333333333,588204.333333333,591819,596750.666666667,600384.333333333,603614,607113.333333333,610626.333333333,612924.666666667,615422.333333333,618437.666666667,623604.333333333,629432.666666667,634236.333333333,638489,641444.333333333,645623,647962.333333333,649651.666666667,651185,654166.333333333,657436.666666667,660034.333333333,660518,662401,665715.333333333,669747.333333333,671942,673197.666666667,674834,676449.666666667,677351.666666667,677100.333333333,677196,675021,673251,670847.666666667,669319.666666667
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,225319,222795.5,220187,215039.666666667,210354.666666667,206689.333333333,204220,202535.333333333,200729.666666667,198382.333333333,195808,193252.666666667,191938.333333333,191136.666666667,191018.333333333,190372.666666667,189673.333333333,188073.666666667,186437,184607.333333333,183094,180744,178742.333333333,177466,176185,174934,173979.333333333,173651.333333333,173113,172173.666666667,171367,171018.666666667,170889,171543.333333333,172002,172085,172685.333333333,172691.333333333,173327.666666667,173494.666666667,174723.666666667,176509.333333333,178251,180306,182607,184794,186640.333333333,187720,189138.666666667,191621,195070,198896.333333333,201888,204020.333333333,205794.333333333,207367.666666667,209161,211625,214736,217827.666666667,220331.666666667,221642,222681,223473.333333333,224947,226583,228478,230340,232453,235406.666666667,237165,239056.666666667,239620.333333333,241023.333333333,241625.666666667,242742,244240.666666667,246020,247505,248919.666666667,250663.333333333,251946.666666667,254095,256459,259282,261447.333333333,262710,264157.666666667,265148.666666667,267352.333333333,269770,272162.333333333,273943.333333333,275285.333333333,276741.666666667,278601.666666667,280803.333333333,282663,283489,284223,285682.666666667,287299.666666667,288711.333333333,290463.666666667,291615,293491.666666667,293983.333333333,295772.666666667,296717.666666667,299076,300848,302910,304371.333333333,305557.666666667,306834,307368.666666667,308229,308506,311108.333333333,312729,314645,314565,315054.666666667,315657.333333333,315619.333333333,316152.666666667,316546.666666667,316688,316535.666666667,317100.333333333,317790.333333333
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,113259,112261,111960.666666667,110997.333333333,110507.333333333,109806.666666667,109467.333333333,109256.666666667,108801.666666667,108098.333333333,107460.666666667,107539.333333333,107813.666666667,108288,108511.666666667,108775.333333333,108737.666666667,108436,108129.666666667,108173.666666667,108644.666666667,109156.666666667,109747.333333333,109860.333333333,109559.666666667,109028.333333333,108581.666666667,108603.666666667,108327.333333333,108216,107427.666666667,106973,105944,105493,104546.333333333,104464.666666667,104234.333333333,104023.333333333,103394,102572.666666667,101790.333333333,101051.666666667,100602,100506,100647.333333333,100683.333333333,100428.666666667,99650,99034.6666666667,99199.6666666667,99822,100120.666666667,100048,100051.666666667,100643.333333333,101252.333333333,101863.666666667,102396,102957.333333333,103389.333333333,103544.666666667,103412.666666667,103456,104162.333333333,105088.666666667,106196.333333333,107047.666666667,108038.666666667,109261,110745.666666667,112011.666666667,112938.666666667,113814.333333333,114887.666666667,115925,116701.666666667,117749,119081.333333333,120581,122377.333333333,124327.666666667,126076.666666667,127712.333333333,129088.333333333,130985,132655.666666667,134587.333333333,136633.333333333,139006.333333333,141282,143294,144154,145178.666666667,146448,148600.666666667,150614,152632.666666667,154494,156371,158120.666666667,160385.666666667,162999.333333333,165721.333333333,167310.666666667,168852.666666667,170675.666666667,173235.666666667,175417,176069.333333333,176896.333333333,177738,179625.666666667,181386.666666667,182698.333333333,183626.666666667,183491,184056,185064.666666667,187076.666666667,189240.666666667,191654,194216.666666667,196317.666666667,198026,199727.333333333,201529.333333333,203318,205740,206671.333333333,207641,207850.666666667,209416,211453.333333333,213360.666666667,214921,215338.666666667,215237,215135.666666667,215244.666666667,216403,218035,218132,217727
1347,"Queens County","NY","New York-Newark-Jersey City","36","081",10,409051,407930,406467,403429.666666667,399851,395867,392089.333333333,388463.333333333,384769.333333333,382214.333333333,378902.333333333,374954.666666667,370055.333333333,365689.666666667,362578.666666667,359256.333333333,355837,352077.666666667,348424,345695.333333333,343703.666666667,341926,341701,341720,341879.666666667,340798.333333333,339015,338192.666666667,338398.666666667,340004,340838.666666667,341585.666666667,343015,344975.333333333,344679.333333333,343375.666666667,342871.666666667,343170.666666667,344169.666666667,343516.333333333,343682.333333333,342377.666666667,341832.666666667,341490.333333333,341164.333333333,340099.666666667,338533.333333333,338247.666666667,338239.333333333,338328.333333333,337094,336810.333333333,336890.333333333,338397.666666667,339434.333333333,339735,339985.333333333,340897.333333333,342535.333333333,343859.333333333,344322.333333333,345084.666666667,346823.333333333,348987.666666667,351208.333333333,353041.333333333,355096.333333333,357205.333333333,358804,360812.666666667,362951.666666667,365346.666666667,368374.666666667,372068,375793.333333333,378737,380170.333333333,380832.666666667,382022.333333333,383851.666666667,386778.666666667,388451.333333333,390768.666666667,393025.333333333,395331,397362.333333333,399464.666666667,402175.666666667,404574.333333333,408054.333333333,410893.666666667,414101,415945.333333333,418026.333333333,420110.333333333,422767,425353.666666667,428001.666666667,429838.666666667,432931.333333333,435868.333333333,439094.333333333,442143,444944,448426.333333333,451342.666666667,454909.333333333,457783,461208.666666667,463327.333333333,465758.666666667,467326.666666667,470109.333333333,472617.333333333,475483.666666667,478343.333333333,481141,484675.333333333,487446,489862.666666667,491937,494953.666666667,498496,502751.666666667,506606.666666667,510974.666666667,515343,518701.666666667,521375,522187,523682.666666667,525674.666666667,528020.666666667,530728.666666667,532681.333333333,533335.666666667,533459,532560,532141,531505,530300.333333333,529399,528834.666666667
